sepal_length,sepal_width,petal_length,petal_width,species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
7.095108964501186,3.0711102634244862,5.983402221932636,2.2664923714242313,virginica
5.741320170728267,2.5940322861280505,4.019025156863427,1.3329308685499703,versicolor
5.771956300528598,3.993361319986691,1.050184695311329,0.044323598581821166,setosa
5.089768571543804,2.8161701172078053,4.426365811731292,1.7751129267681387,virginica
5.861368354102181,2.7181896196552136,3.9106517058053707,1.6048483265710414,versicolor
5.46459995945566,3.121316611825459,1.2643331506352582,-0.008779281646967008,setosa
7.134538741305102,3.0648397535105465,6.049171908365087,1.7326833521364895,virginica
5.712892847711027,2.8051001336162695,4.994638649892005,2.131838119685797,virginica
6.86814926682061,3.1141970374034735,4.319283295806051,1.3838204211195286,versicolor
6.1093944421567,2.0904258794836372,4.024864645558697,1.0266435722227405,versicolor
6.627261021669034,2.818655866284014,5.5952085174853945,2.060732253679717,virginica
5.742317402465203,2.919408929235815,3.9207329633741392,1.2776024358986118,versicolor
6.593788257086478,2.6752203330919926,5.790001079101436,2.145303293715073,virginica
7.491577015400003,2.4631425243268237,6.165369044794002,1.8837762091682624,virginica
5.993558950652631,3.1472244701338514,4.944059623868024,1.631220727931215,virginica
6.869893228348044,2.9068884656210052,4.930097815622119,1.4773157497307212,versicolor
5.426705644122425,2.794981822237827,1.243590434740032,0.28478861395818683,setosa
6.474541019598103,2.7574451965914584,4.7245840998682755,1.4647466153950284,versicolor
4.958611849129115,3.2793260767421892,1.377935596530533,0.036766820638045525,setosa
6.903515150628218,2.9542304967521966,5.992528257999941,1.5580615126326005,virginica
5.2451914138507,3.3280443709416025,1.8448166503051753,0.14884707260821153,setosa
5.06998424081247,2.137735154849778,3.125939009087785,0.8986713560736952,versicolor
4.838009862557505,4.288732683296257,1.2807468409437288,0.5829768643852025,setosa
5.466787875953914,2.8972425016983507,4.160264560189926,1.0082966158026485,versicolor
5.167452337324357,3.670705438651677,1.3307965967088589,0.03550212624398752,setosa
6.817345404607854,3.1009973761405263,4.511646795354797,1.2831669829637646,versicolor
6.047403214587292,3.7147042230548895,1.2676045317750282,0.5949142393906972,setosa
7.393006952785093,2.8120177562793516,4.547474607156969,1.4337318774386587,versicolor
7.035624609873312,2.7663506601735173,6.272541799264146,2.080264312938725,virginica
6.490919468942633,2.8433873452324683,4.702484746474321,1.6086977382484873,versicolor
